,word,score
312,guillotine,0.617
313,spoil,0.617
314,diaper,0.617
315,brothel,0.609
316,venomous,0.609
317,hostile,0.609
318,bleeding,0.609
319,drool,0.609
320,deform,0.609
321,abhor,0.609
322,violently,0.609
323,slander,0.609
324,sabotage,0.609
325,ghetto,0.609
326,unwashed,0.602
327,lunacy,0.602
328,deprivation,0.602
329,musty,0.602
330,ugliness,0.602
331,hag,0.602
332,imprisonment,0.602
333,traitor,0.602
334,poaching,0.602
335,illicit,0.602
336,swampy,0.602
337,infidel,0.602
338,blister,0.594
339,venom,0.594
340,misery,0.594
341,slug,0.594
342,queasiness,0.594
343,deceitful,0.594
344,epidemic,0.594
345,toilet,0.594
346,sinner,0.594
347,repelling,0.594
348,gut,0.594
349,intoxicated,0.594
350,catastrophe,0.594
351,lurid,0.594
352,butcher,0.594
353,thug,0.594
354,hostility,0.594
355,lunatic,0.594
356,incubus,0.586
357,appalling,0.586
358,deteriorated,0.586
359,unclean,0.586
360,lavatory,0.586
361,harass,0.586
362,pornography,0.586
363,dreadful,0.586
364,prostitute,0.586
365,retard,0.578
366,ruinous,0.578
367,debauchery,0.578
368,humiliating,0.578
369,offensive,0.578
370,sick,0.578
371,hypocrite,0.578
372,rash,0.578
373,quagmire,0.578
374,unfaithful,0.578
375,larceny,0.578
376,flea,0.578
377,expulsion,0.578
378,squeamish,0.578
379,fiend,0.578
380,conspirator,0.578
381,mangle,0.578
382,treacherous,0.570
383,swamp,0.570
384,serpent,0.570
385,egregious,0.570
386,spit,0.570
387,devastating,0.570
388,messy,0.570
389,dank,0.570
390,oppress,0.570
391,flog,0.570
392,dogsick,0.570
393,bastard,0.570
394,despise,0.570
395,snake,0.562
396,harmful,0.562
397,insanity,0.562
398,indecent,0.562
399,sloppy,0.562
400,terrible,0.562
401,alcoholism,0.562
402,stealing,0.562
403,ruthless,0.562
404,enemy,0.562
405,harlot,0.562
406,scoundrel,0.562
407,humiliation,0.562
408,sinning,0.562
409,loo,0.562
410,tyrannical,0.562
411,awful,0.562
412,sordid,0.562
413,robbery,0.555
414,flabby,0.555
415,threatening,0.555
416,beastly,0.555
417,distaste,0.555
418,segregate,0.555
419,discriminating,0.555
420,varicella,0.555
421,bloody,0.555
422,unattractive,0.555
423,coward,0.555
424,slayer,0.555
425,collusion,0.555
426,wickedness,0.555
427,arsenic,0.555
428,odious,0.555
429,atrophy,0.555
430,ridicule,0.555
431,insufferable,0.555
432,miserable,0.547
433,burglar,0.547
434,sty,0.547
435,vesicular,0.547
436,malevolent,0.547
