,word,score
311,shot,0.672
312,expletive,0.672
313,nasty,0.672
314,crime,0.672
315,poisonous,0.672
316,corrupting,0.672
317,dastardly,0.672
318,shoot,0.672
319,shove,0.672
320,condemnation,0.672
321,aggravation,0.672
322,wreak,0.672
323,egregious,0.672
324,contempt,0.672
325,crushed,0.672
326,harmful,0.672
327,cruelly,0.672
328,maniac,0.670
329,combat,0.667
330,aggressive,0.667
331,hit,0.667
332,fight,0.667
333,shout,0.667
334,cutthroat,0.667
335,irritable,0.667
336,odious,0.667
337,shooting,0.667
338,hateeveryone,0.667
339,kick,0.667
340,eruption,0.667
341,enemy,0.667
342,punished,0.662
343,ambush,0.661
344,yell,0.661
345,harass,0.659
346,incense,0.656
347,gore,0.656
348,malignant,0.656
349,grudge,0.656
350,antichrist,0.656
351,aggressor,0.656
352,expel,0.656
353,destruction,0.656
354,cranky,0.653
355,growl,0.652
356,slave,0.652
357,spank,0.652
358,denounce,0.652
359,reprisal,0.652
360,insulting,0.652
361,clashing,0.652
362,insurrection,0.652
363,offended,0.652
364,animosity,0.652
365,growls,0.649
366,executioner,0.644
367,twat,0.644
368,doomsday,0.643
369,arson,0.641
370,grr,0.641
371,daemon,0.641
372,spat,0.641
373,obscenity,0.641
374,havoc,0.641
375,shackle,0.641
376,accused,0.641
377,feud,0.641
378,expulsion,0.641
379,indignant,0.641
380,reprimand,0.641
381,inexcusable,0.641
382,bombard,0.641
383,somad,0.637
384,spanking,0.636
385,suicidal,0.636
386,anarchy,0.636
387,combatant,0.636
388,hanging,0.636
389,poisoned,0.636
390,frustrated,0.636
391,wound,0.636
392,glaring,0.636
393,batter,0.636
394,disgusting,0.636
395,kicking,0.636
396,inflict,0.633
397,wrecked,0.633
398,grievous,0.632
399,prosecute,0.630
400,agitated,0.630
401,cheat,0.630
402,swastika,0.627
403,raid,0.625
404,cursing,0.625
405,harassing,0.625
406,provocation,0.625
407,strife,0.625
408,suffocation,0.625
409,defamatory,0.625
410,scourge,0.625
411,injure,0.625
412,enslaved,0.625
413,indict,0.625
414,betray,0.625
415,thundering,0.625
416,arsehole,0.624
417,jerk,0.621
418,insane,0.621
419,retaliation,0.621
420,deprivation,0.621
421,convict,0.621
422,theft,0.621
423,irritate,0.621
424,fiend,0.621
425,cussed,0.619
426,turmoil,0.618
427,smack,0.615
428,retribution,0.614
429,slavery,0.609
430,irritability,0.609
431,bitterly,0.609
432,battery,0.609
433,antagonism,0.609
434,twats,0.609
435,oppressor,0.609
436,injurious,0.609
437,intolerable,0.609
438,gang,0.609
439,rebellion,0.609
440,collision,0.609
441,adverse,0.609
442,disgraced,0.608
443,revolution,0.606
444,diatribe,0.606
445,asshole,0.606
446,ranting,0.606
447,thug,0.606
448,antagonistic,0.606
449,blast,0.606
450,sickening,0.606
451,irritating,0.606
452,irks,0.606
453,bombardment,0.606
454,discrimination,0.606
455,frustrate,0.604
456,oppression,0.603
457,insult,0.603
458,tiredofit,0.603
459,manipulation,0.603
460,bigot,0.603
461,tension,0.603
462,hurtful,0.603
463,disgust,0.602
464,spite,0.600
465,intrusive,0.598
466,harshness,0.597
467,slur,0.596
468,wretch,0.594
469,invasion,0.594
470,morbidity,0.594
471,assail,0.594
472,tempest,0.594
473,miserable,0.594
474,puncture,0.594
475,casualty,0.594
476,bitterness,0.594
477,inferno,0.594
478,storming,0.594
479,consternation,0.592
480,raving,0.591
481,guilty,0.591
482,depraved,0.591
483,immoral,0.591
484,forcibly,0.591
485,overpowering,0.591
486,guillotine,0.591
487,recalcitrant,0.588
488,accursed,0.588
489,invader,0.588
490,scare,0.588
491,screwed,0.588
492,soannoyed,0.588
493,jealousy,0.587
494,indignation,0.587
495,vexed,0.586
496,confront,0.582
497,brute,0.581
498,throttle,0.579
499,bickering,0.578
500,coup,0.578
501,defiant,0.578
502,criminality,0.578
503,provoking,0.578
504,conflict,0.578
505,revolver,0.578
506,butcher,0.578
507,lash,0.578
508,incarceration,0.578
509,contentious,0.578
510,shutit,0.578
511,yousuck,0.578
512,damage,0.578
513,wreck,0.578
514,pillage,0.578
515,shutup,0.578
516,blaze,0.578
517,slut,0.578
518,cancer,0.577
519,blasphemy,0.576
520,disturbance,0.576
521,dontmess,0.576
522,standoff,0.576
523,pernicious,0.576
524,alienation,0.576
525,gun,0.576
526,discord,0.576
527,grope,0.576
528,chaotic,0.576
529,frustration,0.576
530,gory,0.576
531,condescension,0.576
532,discriminate,0.576
533,friggen,0.575
534,death,0.574
535,lunacy,0.574
536,jab,0.574
537,oppressive,0.574
538,cursed,0.574
539,monstrosity,0.574
540,scandalous,0.574
541,sneer,0.574
542,shit,0.573
543,slash,0.571
544,disparaging,0.571
545,unfair,0.571
546,gallows,0.570
547,escalate,0.569
548,intolerant,0.564
549,lawlessness,0.563
550,grouchy,0.562
551,bellows,0.562
552,traitor,0.562
553,frightful,0.562
554,perdition,0.562
555,slander,0.562
556,taunt,0.562
557,invade,0.562
558,wrangling,0.562
559,malign,0.562
560,bluddy,0.562
561,arghh,0.562
562,dreadful,0.562
563,bearish,0.562
564,derogatory,0.562
565,glare,0.562
566,deceived,0.562
567,torpedo,0.562
568,retards,0.562
569,beast,0.562
570,cross,0.561
571,hurt,0.561
572,banshee,0.561
573,uncontrollable,0.561
574,shatter,0.561
575,jeopardize,0.561
576,devastating,0.561
577,conflagration,0.561
578,thief,0.561
579,idiots,0.561
580,fits,0.561
581,grating,0.561
582,rave,0.561
583,dissension,0.561
584,betrayal,0.561
585,disturbed,0.559
586,subjugation,0.559
587,stomped,0.557
588,grab,0.557
589,ticked,0.556
590,grievance,0.556
591,masochism,0.556
592,defiance,0.552
593,blackmail,0.550
594,offensive,0.549
595,decry,0.548
596,sin,0.547
597,violation,0.547
598,confine,0.547
599,fustrated,0.547
600,overbearing,0.547
601,deceive,0.547
602,misery,0.547
603,rebel,0.547
604,punishment,0.547
605,firearms,0.547
606,darkside,0.547
607,arghhhh,0.547
608,disparity,0.547
609,frustrates,0.547
610,disgraceful,0.547
611,shrill,0.547
612,ire,0.547
613,preposterous,0.547
614,hadenough,0.546
615,stolen,0.546
616,prejudice,0.545
617,annoyin,0.545
618,humiliate,0.545
619,resentful,0.545
620,conspirator,0.545
621,callous,0.545
622,ruined,0.545
623,adversary,0.545
624,menace,0.545
625,wanker,0.545
626,antagonist,0.545
627,skirmish,0.545
628,tackle,0.545
629,heated,0.545
630,foul,0.545
631,argument,0.545
632,sting,0.544
633,grumble,0.544
634,robbery,0.544
635,entangled,0.544
636,outcry,0.544
637,irreconcilable,0.543
638,resistance,0.543
639,obstructive,0.542
640,dismay,0.540
641,mob,0.538
642,juststop,0.537
643,badness,0.536
644,ridicule,0.534
645,incendiary,0.533
646,flares,0.532
647,uprising,0.531
648,twofaced,0.531
649,exacerbation,0.531
650,dispute,0.531
651,whip,0.531
652,communism,0.531
653,prejudicial,0.531
654,intruder,0.531
655,belittle,0.531
656,confinement,0.531
657,unbridled,0.531
658,allegation,0.531
659,reckless,0.531
660,degeneracy,0.531
661,dictatorial,0.530
662,unjustifiable,0.530
663,bigoted,0.530
664,unjust,0.530
665,hassle,0.530
666,perversion,0.530
667,offender,0.530
668,fiesty,0.530
669,tackled,0.530
670,dissonance,0.530
671,renegade,0.529
672,hot,0.529
673,prison,0.529
674,cantstandit,0.529
675,trespass,0.529
676,suicide,0.521
677,annoy,0.520
678,leavemealone,0.517
679,dishonest,0.516
680,depravity,0.516
681,distrust,0.516
682,broil,0.516
683,idiotic,0.516
684,treason,0.516
685,venting,0.516
686,tortious,0.516
687,duress,0.516
688,criticize,0.516
689,grrr,0.516
690,inimical,0.516
691,disrespectful,0.516
692,cretins,0.516
693,prisoner,0.516
694,divorce,0.516
695,chaos,0.515
696,coercion,0.515
697,unforgiving,0.515
698,unkind,0.515
699,frustrating,0.515
700,bile,0.515
701,unleash,0.515
702,argumentation,0.515
703,jerks,0.515
704,pow,0.515
705,grump,0.515
706,hangry,0.515
707,victimized,0.515
708,poachers,0.515
709,scold,0.515
710,poaching,0.515
711,roar,0.515
712,tussle,0.514
713,bane,0.511
714,repudiation,0.510
715,accusation,0.510
716,enmity,0.510
717,banish,0.509
718,disfigured,0.508
719,storm,0.507
720,fear,0.500
